Series Name,Series Code,Country Name,Country Code,GDP2016,GDP2017,GDP2018,GDP2019,GDP2020,Population2016,Population2017,Population2018,Population2019,Population2020
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Namibia,NAM,61945,60171,59702,58241,52613,2358044,2402623,2448300,2494524,2540916
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Nauru,NRU,8306,7753,8148,8082,0,10474,10577,10678,10764,10834
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Nepal,NPL,68606,73765,78080,81784,78625,27263430,27632682,28095712,28608715,29136808
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Netherlands,NLD,41404,42359,43106,43543,41683,17030314,17131296,17231624,17344874,17441139
GDP per capita (constant LCU),NY.GDP.PCAP.KN,New Caledonia,NCL,0,0,0,0,0,269350,270000,270650,271300,271960
GDP per capita (constant LCU),NY.GDP.PCAP.KN,New Zealand,NZL,56186,57012,57795,57811,57173,4714100,4813600,4900600,4979300,5084300
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Nicaragua,NIC,28220,29152,27820,26471,25638,6303970,6384843,6465502,6545503,6624554
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Niger,NER,291174,294215,303642,309593,302607,20788789,21602388,22442831,23310719,24206636
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Nigeria,NGA,369178,362574,360110,358742,343459,185960244,190873247,195874685,200963603,206139587
GDP per capita (constant LCU),NY.GDP.PCAP.KN,North Macedonia,MNP,18972,23217,18615,16447,0,56187,56553,56889,57213,57557
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Northern Mariana Islands,NOR,600725,609737,612502,613564,605311,5234519,5276968,5311916,5347896,5379475
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Norway,OMN,6413,6178,6023,5799,0,4479217,4665926,4829476,4974992,5106622
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Oman,PAK,57731,59684,61881,61242,60358,203631356,207906210,212228288,216565317,220892331
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Pakistan,PLW,15816,15433,15968,15214,0,17718,17809,17911,18001,18092
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Palau,PAN,9457,9816,9999,10134,8183,4037073,4106764,4176868,4246440,4314768
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Panama,PNG,7365,7475,7308,7587,7153,8271766,8438038,8606324,8776119,8947027
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Papua New Guinea,PRY,28536860,29521082,30077150,29579653,28923005,6777878,6867058,6956069,7044639,7132530
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Paraguay,PER,16219,16353,16713,16807,14724,30926036,31444299,31989265,32510462,32971846
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Peru,PHL,154950,163312,171261,179276,159948,103663812,105172921,106651394,108116622,109581085
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Philippines,POL,45460,47650,50201,52493,51095,37970087,37974826,37974750,37965475,37950802
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Poland,PRT,17756,18424,18979,19447,17942,10325452,10300300,10283822,10286263,10305564
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Portugal,PRI,2992,2977,2972,3015,2897,3406672,3325286,3193354,3193694,3194034
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Puerto Rico,QAT,252120,241932,239905,237462,224863,2654379,2724727,2781682,2832071,2881060
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Qatar,ROU,20174,21776,22885,23955,23133,19702267,19588715,19473970,19371648,19286123
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Romania,RUS,583715,593693,610408,623098,605828,144342397,144496739,144477859,144406261,144104080
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Russia,RWA,634167,642205,679107,724224,682346,11668829,11980960,12301969,12626938,12952209
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Rwanda,WSM,10265,10329,10076,10386,10034,194540,195358,196128,197093,198410
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Samoa,SMR,35341,35256,35681,36442,0,33503,33671,33784,33864,33938
GDP per capita (constant LCU),NY.GDP.PCAP.KN,San Marino,STP,19336,19705,19906,19967,20197,203221,207086,211032,215048,219161
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Sao Tome and Principe,SAU,79762,77598,78068,77033,72713,32443443,33101183,33702757,34268529,34813867
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Saudi Arabia,SEN,737538,770294,795677,808173,793417,14993514,15419354,15854324,16296362,16743930
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Senegal,SRB,631748,648464,681326,714093,710886,7058322,7020858,6982604,6945235,6908224
GDP per capita (constant LCU),NY.GDP.PCAP.KN,Serbia,SYC,89105,92264,92601,93208,82508,94677,95843,96762,97625,98462
