Series Name,Country,Country Code,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,,Series Name,Continent(Population),Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],,Series Name,Continent,Country Code,GDP per capita (2016),GDP per capita (2017),GDP per capita (2018),GDP per capita (2019),GDP per capita (2020),,,,Series Name,Country Name(Population),Country Code,Population_2016 ,Population_2017,Population_2018,Population_2019,Population_2020
GDP per capita (current US$),Kazakhstan,KAZ,7715,9248,9813,9813,9056,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kazakhstan,KAZ,17794055.00,18037776.00,18276452.00,18513673.00,18754440.00
GDP per capita (current US$),Kenya,KEN,1411,1572,1708,1817,1838,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kenya,KEN,49051531.00,50221146.00,51392570.00,52573967.00,53771300.00
GDP per capita (current US$),Kiribati,KIR,1585,1641,1698,1655,1671,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kiribati,KIR,112529.00,114153.00,115842.00,117608.00,119446.00
GDP per capita (current US$),N. Korea,PRK,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total","Korea, Dem. People's Rep.",PRK,25307665.00,25429816.00,25549606.00,25666158.00,25778815.00
GDP per capita (current US$),South Korea,KOR,29289,31617,33423,31846,31489,,,,,,,,,,,,,,,,,,,,,,"Population, total","Korea, Rep.",KOR,51217803.00,51361911.00,51606633.00,51709098.00,51780579.00
GDP per capita (current US$),Kosovo,XKX,3780,4046,4420,4446,4287,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kosovo,XKX,1777557.00,1791003.00,1797085.00,1788878.00,1775378.00
GDP per capita (current US$),Kuwait,KWT,27653,29759,33399,32373,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kuwait,KWT,3956862.00,4056102.00,4137314.00,4207077.00,4270563.00
GDP per capita (current US$),Kyrgyzstan,KGZ,1121,1243,1308,1374,1174,,,,,,,,,,,,,,,,,,,,,,"Population, total",Kyrgyz Republic,KGZ,6079500.00,6198200.00,6322800.00,6456200.00,6591600.00
GDP per capita (current US$),Laos,LAO,2309,2424,2542,2545,2630,,,,,,,,,,,,,,,,,,,,,,"Population, total",Lao PDR,LAO,6845848.00,6953031.00,7061498.00,7169456.00,7275556.00
GDP per capita (current US$),Latvia,LVA,14316,15643,17850,17794,17620,,,,,,,,,,,,,,,,,,,,,,"Population, total",Latvia,LVA,1959537.00,1942248.00,1927174.00,1913822.00,1901548.00
GDP per capita (current US$),Lebanon,LBN,7626,7793,8013,7584,4891,,,,,,,,,,,,,,,,,,,,,,"Population, total",Lebanon,LBN,6714281.00,6819373.00,6859408.00,6855709.00,6825442.00
GDP per capita (current US$),Lesotho,LSO,1019,1103,1192,1113,861,,,,,,,,,,,,,,,,,,,,,,"Population, total",Lesotho,LSO,2075041.00,2091532.00,2108327.00,2125267.00,2142252.00
GDP per capita (current US$),Liberia,LBR,715,699,677,622,583,,,,,,,,,,,,,,,,,,,,,,"Population, total",Liberia,LBR,4586788.00,4702224.00,4818976.00,4937374.00,5057677.00
GDP per capita (current US$),Libya,LBY,4035,5757,7877,7686,3699,,,,,,,,,,,,,,,,,,,,,,"Population, total",Libya,LBY,6492160.00,6580723.00,6678565.00,6777453.00,6871287.00
GDP per capita (current US$),Liechtenstein,LIE,165642,171254,180367,0,0,,,,,,,,,,,,,,,,,,,,,,"Population, total",Liechtenstein,LIE,37655.00,37805.00,37918.00,38020.00,38137.00
GDP per capita (current US$),Lithuania,LTU,14998,16844,19167,19555,19998,,,,,,,,,,,,,,,,,,,,,,"Population, total",Lithuania,LTU,2868231.00,2828403.00,2801543.00,2794137.00,2794700.00
GDP per capita (current US$),Luxembourg,LUX,104278,107361,116597,114685,115874,,,,,,,,,,,,,,,,,,,,,,"Population, total",Luxembourg,LUX,582014.00,596336.00,607950.00,620001.00,632275.00
